iter	Logloss
0	0.5277299927
1	0.3986570817
2	0.300040116
3	0.2276061182
4	0.1740365919
5	0.1344146832
6	0.1045475414
7	0.08220611565
8	0.06429747488
9	0.05117278717
10	0.04131149412
11	0.03373710658
12	0.02803547566
13	0.02363105693
14	0.02020228976
15	0.01741284113
16	0.01525349761
17	0.01355685538
18	0.01221077898
19	0.01111545066
20	0.01023985378
21	0.009445312323
22	0.008857058932
23	0.008331584646
24	0.007930855441
25	0.007611673045
26	0.007268517846
27	0.007029557101
28	0.006826993839
29	0.006624043118
30	0.0064781154
31	0.006340382026
32	0.006211078376
33	0.006062477037
34	0.005940995173
35	0.005857832041
36	0.005779930178
37	0.005682522375
38	0.005624020989
39	0.005559212117
40	0.005504860442
41	0.005443252503
42	0.0053889463
43	0.005352145691
44	0.005305441179
45	0.005268046008
46	0.00523310742
47	0.00520412172
48	0.005176215097
49	0.005139968166
50	0.005117365609
51	0.005094632753
52	0.005076508905
53	0.005056265112
54	0.00503864947
55	0.005023615361
56	0.005002781973
57	0.004980298635
58	0.00495633806
59	0.00494054126
60	0.004920449929
61	0.00490331116
62	0.004873555509
63	0.004865149094
64	0.004847622102
65	0.004833192109
66	0.004824373397
67	0.004799981039
68	0.004791113418
69	0.004779379209
70	0.00475699713
71	0.00474526636
72	0.004728452002
73	0.004712132094
74	0.004700387951
75	0.004688621263
76	0.004678443769
77	0.004659690969
78	0.004648105401
79	0.004635569144
80	0.004622253001
81	0.004611899737
82	0.004599351252
83	0.004589143572
84	0.004577283267
85	0.00456707788
86	0.00456026983
87	0.004551464111
88	0.004536956932
89	0.004526738552
90	0.004517201857
91	0.004507777502
92	0.004497352783
93	0.004486094301
94	0.004472557681
95	0.004452810249
96	0.00444480696
97	0.004434228251
98	0.004421836049
99	0.004407127116
100	0.004395421184
101	0.004386471027
102	0.004375796026
103	0.004365768702
104	0.00435304674
105	0.004346626149
106	0.004338204832
107	0.004324535238
108	0.004318486058
109	0.004303912774
110	0.004293066971
111	0.004285132843
112	0.00427762859
113	0.004268283331
114	0.004257360724
115	0.004250148402
116	0.004237283149
